ID,Nama Pekerjaan,Bidang Pekerjaan,Deskripsi Diri
539,Pemuat Kapal,Logistik,"Untuk menghindari kemungkinan ketidakseimbangan dan risiko kecelakaan, pastikan muatan mempunyai kapasitas muatan yang aman dan memenuhi standar yang ditentukan."
540,Pemuat Kapal,Logistik,Memeriksa kondisi muatan untuk memastikan keberadaan dan mutunya serta mencatat kondisi muatan yang rusak atau tidak memadai.
541,Petugas Kebersihan Pelabuhan,Pelayanan,"Kumpulkan, buang, dan kelola limbah secara teratur untuk menjaga area pelabuhan tetap bersih dan bebas dari potensi kontaminan."
542,Petugas Kebersihan Pelabuhan,Pelayanan,"Pembersihan sampah dan kotoran di tempat umum sekitar pelabuhan, seperti jalan raya, trotoar dan tempat umum lainnya."
543,Petugas Kebersihan Pelabuhan,Pelayanan,Membersihkan dan menjaga kebersihan toilet umum di pelabuhan.
544,Tukang Kayu,Pertukangan,Gunakan gergaji atau alat lain untuk memotong kayu dan lakukan pengukuran yang akurat sesuai spesifikasi yang ditentukan.
545,Tukang Kayu,Pertukangan,"Membentuk dan menghaluskan permukaan kayu olahan dengan menggunakan perkakas seperti pahat, gergaji, dan mesin pengerjaan kayu lainnya."
546,Tukang Kayu,Pertukangan,"Proses perakitan kayu menjadi produk jadi seperti furnitur, pintu, jendela, dan struktur arsitektur lainnya."
547,Tukang Besi/Baja,Pertukangan,Penggunaan teknik pengelasan untuk menyambung atau menyambung bagian logam menjadi struktur yang diinginkan.
548,Tukang Besi/Baja,Pertukangan,"Menggunakan perkakas seperti palu, gergaji, dan mesin pembentuk untuk membentuk logam guna membuat bagian-bagian yang diperlukan untuk proyek."
549,Tukang Besi/Baja,Pertukangan,Pemasangan bagian logam pada struktur dan produk serta perbaikan bagian yang rusak.
550,Tukang Cat,Pertukangan,"Pastikan permukaan yang akan dicat bersih dan halus serta dipersiapkan dengan baik untuk pengecatan melalui proses pembersihan, pengamplasan, dan perbaikan permukaan yang diperlukan."
551,Tukang Cat,Pertukangan,Mengetahui jenis-jenis cat yang cocok untuk berbagai permukaan dan menguasai teknik mencampur cat dalam proporsi yang benar untuk mencapai hasil yang diinginkan.
552,Tukang Cat,Pertukangan,Melakukan pemeliharaan dan pembersihan peralatan yang digunakan untuk menjamin kualitas peralatan yang berkelanjutan.
553,Tukang Pemasang Kaca,Pertukangan,Kami melakukan pengukuran yang tepat dan memotong kaca sesuai spesifikasi yang diperlukan untuk pemasangan Anda.
554,Tukang Pemasang Kaca,Pertukangan,"Untuk menjamin kekuatan, daya tahan, dan keamanan kaca , pasang kaca dengan hati-hati dan gunakan teknik pemasangan yang benar."
555,Tukang Pemasang Kaca,Pertukangan,Pastikan kaca dipasang dengan aman dan benar dan selesaikan pemasangan dengan finishing yang menjamin penampilan estetika yang baik.
556,Tukang Marmer,Pertukangan,"Kami memproduksi marmer custom-made sesuai ide dan permintaan pelanggan, serta menyiapkan lokasi pemasangan."
557,Tukang Marmer,Pertukangan,Memotong marmer dengan tepat dan menyesuaikan tapak kaki.
558,Tukang Marmer,Pertukangan,Marmer  diproduksi menggunakan teknik konstruksi yang presisi dan presisi tinggi untuk memastikan penampilan yang indah dan tahan lama.
559,Pengrajin Furnitur,Pertukangan,"Kami mendesain furnitur dengan kreativitas, dengan mempertimbangkan keindahan, fungsionalitas, dan kepraktisan."
560,Pengrajin Furnitur,Pertukangan,Membangun atau memproduksi furnitur dengan menggunakan teknik dan peralatan yang tepat untuk mencapai hasil akhir berkualitas tinggi.
561,Pengrajin Furnitur,Pertukangan,"Memperbaiki atau memulihkan furnitur yang rusak atau lama, memperbarui atau memulihkan keindahan dan fungsinya."
562,Tukang Pengecoran,Pertukangan,Kami memiliki pengalaman luas dalam proses pengecoran dan memahami teknologinya dengan baik.
563,Tukang Pengecoran,Pertukangan,Harus memiliki kemampuan teknis membaca cetak biru dan spesifikasi produk serta memahami penggunaan peralatan dan mesin pengecoran.
564,Tukang Pengecoran,Pertukangan,Kami dapat menguji dan memantau produk pengecoran kami untuk memastikan kualitas memenuhi standar.
565,Tukang Keramik,Pertukangan,"Aplikasikan keramik  pada dinding, lantai, atau permukaan tertentu dengan presisi dan perhatian terhadap detail."
566,Tukang Keramik,Pertukangan,Pengalaman memotong dan memasang keramik sesuai spesifikasi yang ditentukan.
567,Tukang Keramik,Pertukangan,Memahami berbagai jenis keramik dan bahan yang digunakan dalam proses pemasangan.
568,Pemotong Pohon,Pertukangan,Mengoperasikan perkakas penebang pohon seperti gergaji dan gergaji mesin dengan keterampilan tinggi.
569,Pemotong Pohon,Pertukangan,Memahami cara memilih dan memangkas pohon  menurut sifat-sifatnya.
570,Pemotong Pohon,Pertukangan,Memiliki pengetahuan dan keterampilan mengenai teknik penebangan yang aman dan efisien.
571,Tukang Pipa,Pertukangan,Pasang pipa dengan hati-hati untuk memastikan sambungannya kedap air dan sistem berfungsi dengan baik.
572,Tukang Pipa,Pertukangan,"Memotong, merakit, dan menyambung pipa dengan benar menggunakan peralatan dan teknik yang sesuai."
573,Tukang Pipa,Pertukangan,Pengetahuan tentang berbagai jenis pipa dan bahan yang digunakan dalam konstruksi pipa.
574,Tukang Furnitur Kustom,Pertukangan,"Merancang, mengembangkan dan memproduksi furnitur yang dipesan  sesuai dengan spesifikasi yang ditentukan."
575,Tukang Furnitur Kustom,Pertukangan,"Memotong, membentuk, dan merakit bahan untuk menghasilkan furnitur berkualitas dengan menggunakan keterampilan dan peralatan yang sesuai."
576,Tukang Furnitur Kustom,Pertukangan,Memahami kebutuhan dan harapan desain furnitur pelanggan.
577,Tukang Pemecah Batu,Pertukangan,"Saat memotong batu, waspadalah terhadap keselamatan dirimu sendiri dan orang-orang di sekitarmu."
578,Tukang Pemecah Batu,Pertukangan,Teknologi pemecah batu dapat disesuaikan dengan kebutuhan dan spesifikasi proyek yang dikerjakan.
579,Tukang Pemecah Batu,Pertukangan,"Perusahaan kami mempunyai keahlian dalam penggunaan peralatan yang benar seperti palu, pahat dan alat penghancur batu lainnya  untuk menghancurkan batu sesuai dengan kebutuhan proyek."
580,Tukang Bangunan,Pertukangan,"Melaksanakan berbagai tugas konstruksi termasuk memasang dinding, lantai, atap, dan struktur bangunan lainnya sesuai dengan rencana dan petunjuk yang diberikan."
581,Tukang Bangunan,Pertukangan,Pelajari berbagai teknik untuk menggunakan alat dan bahan konstruksi untuk membangun atau memperbaiki struktur arsitektur.
582,Tukang Bangunan,Pertukangan,Pengetahuan tentang bahan yang digunakan dalam konstruksi dan kemampuan membaca dan memahami cetak biru dan gambar.
583,Tukang Instalasi air,Pertukangan,Memasang sistem perpipaan air secara akurat sesuai dengan desain dan spesifikasi yang ditentukan.
584,Tukang Instalasi air,Pertukangan,"Pengetahuan tentang teknik pemasangan pipa, termasuk pemotongan, penyambungan, dan penempatan pipa yang akurat dan kedap air."
585,Tukang Instalasi air,Pertukangan,Harap pastikan peraturan kesehatan dan keselamatan dipatuhi untuk menghindari risiko kebocoran air atau kerusakan pada sistem pasokan air.
586,Tukang Kunci,Pertukangan,"Memiliki keahlian dalam membuka, menutup, memasang, dan memperbaiki berbagai jenis kunci, termasuk kunci pintu, jendela, mobil, dan peralatan rumah tangga lainnya."
587,Tukang Kunci,Pertukangan,"Mampu menggunakan dengan baik berbagai perkakas penting, termasuk kunci pas, pemotong kunci, dan peralatan khusus lainnya."
588,Tukang Kunci,Pertukangan,Kami dapat memasang dan memperbaiki sistem keamanan penting seperti kunci ganda dan sistem keamanan tingkat lanjut.
589,Tukang Granit,Pertukangan,"Kami memiliki pengetahuan untuk memotong, merakit, dan memasang granit dengan presisi tinggi sesuai dengan kebutuhan dan desain spesifik Anda."
590,Tukang Granit,Pertukangan,"Kami memiliki pemahaman yang baik tentang berbagai jenis granit, tekstur dan propertinya, sehingga kami dapat membuat pilihan yang tepat tergantung pada kebutuhan proyek Anda."
591,Tukang Granit,Pertukangan,Memotong dan membentuk granit sesuai spesifikasi proyek dengan menggunakan alat dan teknik yang sesuai.
592,Teknisi Komputer,Teknisi,"Mampu merakit, memperbaiki, dan merawat komputer beserta perangkatnya."
593,Teknisi Komputer,Teknisi,"Mengatasi masalah yang berkaitan dengan kinerja komputer, keamanan, atau pengaturan sistem operasi."
594,Teknisi Komputer,Teknisi,"Memasang, mengkonfigurasi, dan meningkatkan perangkat keras komputer seperti RAM, hard drive, kartu grafis, dan perangkat lainnya."
595,Teknisi Jaringan,Teknisi,"Mendiagnosis dan menyelesaikan masalah jaringan seperti masalah konektivitas, kecepatan, dan keamanan."
596,Teknisi Jaringan,Teknisi,"Mengelola dan mengkonfigurasi perangkat keras jaringan seperti router, switch, dan firewall untuk memastikan kinerja optimal."
597,Teknisi Jaringan,Teknisi,"Mengelola keamanan jaringan, termasuk mencegah serangan cyber, melindungi data, dan menangani insiden keamanan."
598,Teknisi Listrik,Teknisi,"Melakukan pemasangan, perbaikan, dan pemeliharaan sistem kelistrikan di berbagai lingkungan termasuk bangunan perumahan, komersial, dan industri."
599,Teknisi Listrik,Teknisi,"Pemasangan perlengkapan listrik seperti stopkontak, saklar, perlengkapan penerangan, dan sistem distribusi tenaga listrik."
600,Teknisi Listrik,Teknisi,"Mendiagnosis dan memperbaiki masalah atau kegagalan sistem kelistrikan, seperti masalah kelistrikan, korsleting, dan pemadaman listrik."
601,Petugas Kebersihan Kamar (DW),Pelayanan,"Menjalankan tugas pemeliharaan kebersihan ruangan dengan cermat dan penuh tanggung jawab, serta memberikan layanan unggul kepada tamu di lingkungan penginapan."
602,Petugas Kebersihan Kamar (DW),Pelayanan,Menjaga standar kebersihan tinggi dan memberikan perhatian terhadap detail dalam merapikan kamar dan fasilitas umum untuk memastikan kenyamanan maksimal bagi pengunjung.
603,Petugas Kebersihan Kamar (DW),Pelayanan,"Melaksanakan tugas pembersihan rutin secara efisien, sambil memberikan layanan ramah dan membantu kepada tamu penginapan untuk memenuhi kebutuhan mereka."
604,Asisten Baking dan Formulasi (DW),Pelayanan,Mendukung proses pembuatan produk roti dan kue dengan memastikan bahan-bahan berkualitas dan formulasi yang tepat sesuai standar yang ditetapkan.
605,Asisten Baking dan Formulasi (DW),Pelayanan,Berperan dalam mengembangkan resep-resep baru dan membantu dalam tahap formulasi untuk menciptakan produk roti dan kue yang inovatif dan berkualitas tinggi.
606,Asisten Baking dan Formulasi (DW),Pelayanan,"Menjadi bagian integral dalam tim produksi, memberikan kontribusi dalam penyesuaian formulasi untuk memastikan konsistensi rasa dan kualitas produk roti dan kue yang dihasilkan."
607,Sopir Gudang,Logistik,Mengemudikan kendaraan dengan keahlian dan keamanan tingkat tinggi untuk mengantarkan dan mengambil barang sesuai jadwal yang ditetapkan di area gudang.
608,Sopir Gudang,Logistik,"Bertanggung jawab atas transportasi barang dengan cermat dan tepat waktu, memastikan pengiriman dan pengambilan barang dari gudang dilakukan dengan efisiensi."
609,Sopir Gudang,Logistik,"Melaksanakan tugas sebagai pengemudi dengan fokus pada keamanan dan ketepatan waktu, menjaga kondisi kendaraan dan memastikan pengiriman barang dari dan ke gudang dilakukan dengan optimal."
610,Agen Penjualan Harian,Penjualan,"Mengelola dengan cermat aktivitas penjualan harian, termasuk prospeksi, interaksi pelanggan, dan pengelolaan pesanan untuk memperoleh peningkatan penjualan yang konsisten."
611,Agen Penjualan Harian,Penjualan,"Merekam dan menganalisis data penjualan harian secara teliti guna mengidentifikasi tren dan peluang, memperkuat strategi penjualan."
612,Agen Penjualan Harian,Penjualan,Melacak metrik penjualan harian serta mengadaptasi pendekatan penjualan berdasarkan informasi tersebut untuk mencapai hasil penjualan yang optimal.
613,Pengajar Biologi Freelencer,Pendidikan,"Memberikan pengajaran atau bimbingan dalam bidang biologi secara fleksibel sesuai kebutuhan, untuk mendukung pemahaman yang mendalam pada siswa."
614,Pengajar Biologi Freelencer,Pendidikan,"Mengajar topik-topik biologi dengan pendekatan yang adaptif dan kreatif, memberikan pembelajaran yang menarik serta mendukung perkembangan pemahaman konsep-konsep biologis."
615,Pengajar Biologi Freelencer,Pendidikan,"Menyediakan layanan pengajaran mandiri dalam biologi dengan pendekatan yang personal dan mendalam, membantu siswa memahami materi dengan lebih baik sesuai dengan tingkat pemahaman masing-masing."
616,TikTok Content Talent/Model Freelancer,Media,"Menciptakan konten TikTok yang kreatif dan menarik, menampilkan keahlian dan kepribadian yang menghibur untuk meningkatkan keterlibatan pengikut."
617,TikTok Content Talent/Model Freelancer,Media,"Menjadi model atau bakat dalam konten TikTok, menghadirkan pesona dan kreativitas dalam setiap produksi konten untuk menarik perhatian audiens."
618,TikTok Content Talent/Model Freelancer,Media,"Mengembangkan konten yang menarik dan menghibur di TikTok, membangun keterlibatan yang kuat dengan pengikut melalui penampilan dan konsep konten yang inovatif."
619,Pengajar Bimbel Freelencer,Pendidikan,"Memberikan pengajaran yang personal dan adaptif di bimbingan belajar sesuai kebutuhan siswa, memberikan pendampingan yang efektif dalam proses pembelajaran."
620,Pengajar Bimbel Freelencer,Pendidikan,"Menciptakan pengalaman pembelajaran yang interaktif dan menyenangkan di bimbingan belajar, mendukung pemahaman konsep-konsep pelajaran dengan cara yang menarik."
621,Pengajar Bimbel Freelencer,Pendidikan,"Menyediakan layanan pengajaran freelance yang fleksibel di bimbingan belajar, membantu siswa mempersiapkan diri dengan pendekatan yang sesuai dan efisien sesuai kurikulum yang ada."
622,DW Food & Beverage Service,Pelayanan,"Menyajikan layanan makanan dan minuman dengan presisi serta fokus pada kualitas di beragam acara dan tempat, memastikan pengalaman bersantap yang luar biasa bagi para tamu."
623,DW Food & Beverage Service,Pelayanan,"Mengkoordinasikan dengan cermat layanan makanan dan minuman yang superior di berbagai lokasi dan acara, memperhatikan detail untuk menciptakan pengalaman kuliner yang istimewa."
624,DW Food & Beverage Service,Pelayanan,"Bertanggung jawab atas penyajian makanan dan minuman yang berkualitas tinggi, menyesuaikan layanan sesuai kebutuhan acara dan memberikan pengalaman bersantap yang memuaskan bagi semua tamu."
625,Tukang Kasir (Shopkeeper),Pelayanan,"Memastikan transaksi keuangan yang akurat dan memberikan layanan pelanggan yang ramah, menciptakan pengalaman berbelanja yang lancar dan memuaskan di toko."
626,Tukang Kasir (Shopkeeper),Pelayanan,"Mengelola dengan cermat transaksi keuangan dan memberikan pelayanan yang responsif kepada pelanggan, menciptakan lingkungan berbelanja yang menyenangkan."
627,Tukang Kasir (Shopkeeper),Pelayanan,"Menjaga kelancaran transaksi keuangan dan memberikan pelayanan efisien kepada pelanggan, menjadikan proses berbelanja lebih nyaman dan mudah di toko."
628,Cleaning Service,Pelayanan,"Melaksanakan tugas-tugas kebersihan dengan teliti dan efisien di berbagai area, memastikan lingkungan yang bersih dan teratur sesuai standar."
629,Cleaning Service,Pelayanan,"Bertanggung jawab atas pemeliharaan kebersihan di tempat kerja, menangani beragam tugas pembersihan dengan fokus pada kualitas dan kebersihan lingkungan."
630,Cleaning Service,Pelayanan,"Menyediakan layanan kebersihan yang konsisten dan terperinci, memastikan area-area tertentu tetap bersih dan rapi untuk menciptakan lingkungan yang nyaman bagi pengguna fasilitas."
631,Steward (DW),Pelayanan,"Menjaga kebersihan dapur dan peralatan makanan dengan cermat, termasuk membersihkan peralatan, perangkat, dan area kerja secara teratur."
632,Steward (DW),Pelayanan,"Bertanggung jawab atas pencucian, penyimpanan, dan ketersediaan peralatan makanan yang bersih dan steril sesuai dengan standar kebersihan yang ditetapkan."
633,Steward (DW),Pelayanan,"Memastikan pemeliharaan kebersihan dapur, termasuk pembuangan sampah, sanitasi area kerja, dan penataan kembali peralatan makan setelah digunakan."
634,Daily Worker Runner,Pelayanan,"Melayani dan mencatat pesanan pelanggan dengan ramah, serta menyajikan makanan dan minuman sesuai dengan permintaan dengan penuh perhatian."
635,Daily Worker Runner,Pelayanan,"Menawarkan menu kepada pelanggan, mencatat pesanan dengan akurat, dan memberikan pelayanan yang ramah serta menyajikan hidangan sesuai dengan keinginan pelanggan."
636,Daily Worker Runner,Pelayanan,"Memberikan pelayanan yang baik kepada pelanggan dengan menerima pesanan, mencatat dengan tepat, dan menyajikan hidangan serta minuman dengan cermat sesuai permintaan."
637,Videographer Freelence,Media,"Memproduksi, mengambil gambar, dan mengedit video dengan keahlian untuk menciptakan konten visual yang menarik dan berkualitas."
638,Videographer Freelence,Media,Menangkap momen-momen kreatif serta mengolahnya menjadi video yang menarik dengan menggunakan peralatan dan teknik pengeditan yang tepat.
639,Videographer Freelence,Media,Menghasilkan konten visual yang menginspirasi dan informatif melalui pengambilan gambar dan penyuntingan video yang kreatif dan berkualitas tinggi.
640,Cook (DW),Pelayanan,Mengolah berbagai hidangan dengan ketelitian dan kreativitas sesuai standar dapur untuk memastikan kualitas makanan yang konsisten.
641,Cook (DW),Pelayanan,"Menyajikan hidangan lezat dengan keahlian dan perhatian terhadap detail, menciptakan pengalaman kuliner yang memuaskan."
642,Cook (DW),Pelayanan,"Bertanggung jawab atas proses memasak dengan fokus pada kualitas dan rasa, memenuhi harapan akan cita rasa yang konsisten dari setiap hidangan yang disajikan."
643,Harian Lepas Gudang,Logistik,"Memenuhi tugas-tugas gudang harian seperti pengemasan, pengangkutan barang, atau inventarisasi sesuai kebutuhan yang ditentukan."
644,Harian Lepas Gudang,Logistik,"Melakukan berbagai pekerjaan di area gudang termasuk pemindahan barang, pengemasan, atau mempersiapkan pengiriman sesuai instruksi yang diberikan."
645,Harian Lepas Gudang,Logistik,"Menyokong operasional gudang dengan melakukan tugas-tugas seperti pengangkutan, penataan barang, atau membantu dalam proses pengiriman barang."
646,Waiter (DW),Pelayanan,Memberikan pelayanan meja yang ramah dan efisien kepada pelanggan dengan memahami menu dan memastikan kebutuhan pelanggan terpenuhi.
647,Waiter (DW),Pelayanan,Bertanggung jawab atas layanan meja dan memastikan pengalaman bersantap yang memuaskan dengan kecepatan dan keramahan.
648,Waiter (DW),Pelayanan,"Menyediakan pelayanan yang profesional dan responsif kepada pelanggan, memastikan keseluruhan pengalaman bersantap yang menyenangkan dan nyaman."
649,Front Office (DW),Pelayanan,"Mengelola resepsionis dengan penuh tanggung jawab, memberikan pelayanan ramah kepada tamu dan menangani administrasi secara efisien."
650,Front Office (DW),Pelayanan,"Menyambut tamu dengan ramah, memberikan informasi yang dibutuhkan, serta menjalankan tugas administratif front office dengan cermat."
651,Front Office (DW),Pelayanan,"Bertugas untuk menyambut tamu dengan ramah, menjawab pertanyaan, dan menjalankan tugas administratif di front office sesuai dengan prosedur yang telah ditetapkan."
652,Event Stock Inventory,Logistik,"Melakukan manajemen inventaris acara secara teliti, memastikan ketersediaan dan kelengkapan barang yang diperlukan selama berlangsungnya acara."
653,Event Stock Inventory,Logistik,"Menangani pengelolaan stok barang dan peralatan untuk acara, melakukan pemantauan cermat untuk memastikan kelancaran dan kesiapan logistik."
654,Event Stock Inventory,Logistik,"Bertanggung jawab atas inventarisasi dan pengawasan stok barang khusus untuk acara tertentu, memastikan persiapan sesuai dengan kebutuhan acara."
655,Content Creator,Media,"Menghasilkan konten kreatif dan menarik, termasuk tulisan, gambar, video, atau audio, sesuai dengan kebutuhan platform digital atau strategi pemasaran yang telah ditetapkan."
656,Content Creator,Media,"Menciptakan konten yang menginspirasi dan informatif, menggunakan berbagai format untuk mencapai dan terhubung dengan audiens secara efektif."
657,Content Creator,Media,"Menyusun dan mengembangkan ide konten yang orisinal dan relevan, sesuai dengan target audiens dan tujuan bisnis yang ingin dicapai."
658,Pengajar Matematika (Freelance),Pendidikan,"Membantu siswa memahami konsep matematika dengan pendekatan yang adaptif dan kreatif, meningkatkan pemahaman melalui metode pengajaran yang menarik."
659,Pengajar Matematika (Freelance),Pendidikan,"Memberikan bimbingan matematika yang personal dan fleksibel kepada siswa, membantu mereka menguasai konsep-konsep matematika sesuai dengan gaya belajar masing-masing."
660,Pengajar Matematika (Freelance),Pendidikan,"Menyediakan layanan pengajaran matematika mandiri yang berfokus pada pengembangan pemahaman konsep, sesuai dengan kurikulum yang berlaku."
661,Daily Worker - Cook Helper,Pelayanan,"Mendukung dalam persiapan bahan makanan dan peralatan dapur, serta membantu dalam proses memasak dengan cermat dan efisien."
662,Daily Worker - Cook Helper,Pelayanan,"Berperan sebagai bagian integral dalam tim dapur, mendukung kelancaran proses memasak, penyajian, dan memastikan ketersediaan bahan-bahan."
663,Daily Worker - Cook Helper,Pelayanan,"Mendukung pekerjaan dapur dengan cermat, membantu mempersiapkan dan menyajikan hidangan sesuai dengan standar yang telah ditetapkan."
664,Bartender (DW),Pelayanan,"Menyiapkan dan menyajikan minuman dengan kreativitas dan presisi sesuai dengan standar, serta memberikan layanan ramah kepada pelanggan."
665,Bartender (DW),Pelayanan,"Bertanggung jawab atas operasional bar, termasuk pemeliharaan, persiapan bahan minuman, dan penyajian minuman dengan keterampilan tinggi."
666,Bartender (DW),Pelayanan,"Memberikan pengalaman bersantap yang memuaskan dengan menyajikan minuman berkualitas tinggi, menjaga kebersihan, dan memberikan pelayanan responsif kepada pelanggan."
667,Petugas Kebersihan Kolam (DW),Pelayanan,"Bertanggung jawab atas pemeliharaan kebersihan kolam renang, termasuk pembersihan, pengawasan kualitas air, dan penjagaan area sekitarnya."
668,Petugas Kebersihan Kolam (DW),Pelayanan,"Menjaga ketersediaan fasilitas dan perlengkapan kolam renang, serta memastikan lingkungan sekitar kolam tetap bersih dan aman."
669,Petugas Kebersihan Kolam (DW),Pelayanan,"Melakukan tugas-tugas rutin menjaga kebersihan kolam renang dengan teliti, memastikan lingkungan yang nyaman dan aman bagi para pengguna fasilitas kolam."
670,Order Taker DW,Pelayanan,"Menerima pesanan dari pelanggan dengan ramah dan akurat, memastikan kebutuhan mereka terpenuhi."
671,Order Taker DW,Pelayanan,Menyampaikan pesanan dengan tepat kepada departemen terkait untuk diproses dengan efisiensi.
672,Order Taker DW,Pelayanan,Menjaga catatan pesanan dengan teliti dan menjalankan proses pengambilan pesanan dengan kecepatan dan akurasi.
673,Pustakawan Freelence,Pelayanan,"Menjalankan sistem peminjaman dan pengembalian buku, memberikan pelayanan yang ramah dan bermanfaat kepada pengunjung perpustakaan."
674,Pustakawan Freelence,Pelayanan,"Mengelola koleksi buku dan sumber informasi, menyusunnya dengan rapi serta memberikan bantuan kepada pengunjung dalam menemukan bahan yang mereka butuhkan."
675,Pustakawan Freelence,Pelayanan,"Melakukan tugas-tugas administratif seperti pendataan, inventarisasi koleksi, serta menjaga kelancaran operasional perpustakaan."
676,Restaurant Crew (Freelence),Pelayanan,"Memberikan dukungan dalam berbagai fungsi restoran, mulai dari melayani pelanggan, membersihkan area, hingga membantu dalam proses persiapan makanan dan minuman."
677,Restaurant Crew (Casual),Pelayanan,"Menyediakan pelayanan yang ramah kepada pelanggan, menjaga kebersihan area restoran, serta mendukung kelancaran operasional secara umum."
678,Restaurant Crew (Casual),Pelayanan,"Berperan dalam berbagai aspek operasional restoran, siap untuk berkontribusi di berbagai bagian sesuai kebutuhan, baik itu layanan kepada pelanggan maupun tugas-tugas dapur."
679,Pengajar/ Tentor Bahasa Inggris Program SAT/IUP/KKI,Pendidikan,Memberikan pengajaran bahasa Inggris dengan fokus pada kurikulum program SAT/IUP/KKI untuk mempersiapkan siswa menghadapi ujian atau program tersebut.
680,Pengajar/ Tentor Bahasa Inggris Program SAT/IUP/KKI,Pendidikan,"Menyusun materi pelajaran yang sesuai dengan kurikulum ujian yang diujikan (seperti SAT), membantu siswa memahami tata bahasa, kosakata, dan keterampilan Bahasa Inggris yang diperlukan."
681,Pengajar/ Tentor Bahasa Inggris Program SAT/IUP/KKI,Pendidikan,"Memberikan bimbingan personal kepada siswa, membantu mereka mempersiapkan diri secara efektif untuk ujian Bahasa Inggris yang diperlukan dalam program seperti SAT/IUP/KKI."
682,Dishwasher DW,Pelayanan,"Menjaga kebersihan peralatan dapur dan peralatan makanan dengan cermat dan efisien, termasuk pencucian, pengeringan, dan penataan kembali peralatan."
683,Dishwasher DW,Pelayanan,"Mendukung kelancaran operasional dapur dengan memastikan kebersihan peralatan selalu terjaga, siap untuk digunakan pada saat diperlukan."
684,Dishwasher DW,Pelayanan,"Melaksanakan tugas-tugas pencucian peralatan dengan teliti, memastikan ketersediaan peralatan yang bersih dan steril bagi keperluan dapur."
685,Driver Logistic SIM B2 Umum,Logistik,"Mengemudikan kendaraan pengiriman dengan SIM B2 Umum secara aman dan bertanggung jawab, mengantar barang sesuai dengan jadwal dan lokasi yang ditentukan."
686,Driver Logistic SIM B2 Umum,Logistik,"Menjaga kendaraan dalam kondisi yang baik, memastikan kebersihan dan perawatan rutin untuk kelancaran operasional dalam mengantarkan barang."
687,Driver Logistic SIM B2 Umum,Logistik,"Melaksanakan tugas logistik pengiriman, mematuhi regulasi lalu lintas, dan menyampaikan barang dengan tepat waktu serta memastikan keselamatan dalam perjalanan."
688,Tukang Pembuatan Pot,Pertukangan,"Membuat pot dengan keahlian dan kreativitas, menggunakan berbagai bahan dan teknik pembuatan pot yang sesuai dengan desain yang diinginkan."
689,Tukang Pembuatan Pot,Pertukangan,"Mengolah material menjadi pot dengan presisi dan ketelitian, memberikan sentuhan estetika dan keunikan pada setiap karya yang dihasilkan."
690,Tukang Pembuatan Pot,Pertukangan,Memastikan kualitas dan kekuatan pot yang dihasilkan serta memperhatikan detail desain yang diperlukan sesuai dengan permintaan atau spesifikasi yang ada.
691,Tukang Kebun,Pertukangan,Mengelola dan merawat taman atau kebun dengan menanam dan merawat tanaman serta bunga.
692,Tukang Kebun,Pertukangan,"Merawat kebersihan taman, melakukan pemotongan rumput, penyiraman tanaman, dan membersihkan area taman secara berkala."
693,Tukang Kebun,Pertukangan,"Memberikan saran atau rekomendasi mengenai perawatan tanaman, pemilihan tanaman yang sesuai dengan kondisi lingkungan, serta pengelolaan taman secara keseluruhan."
694,Public Area (DW),Pelayanan,"Menjaga kebersihan area publik secara teratur, termasuk membersihkan lantai, mengatur ulang perabotan, serta merawat taman atau area terbuka."
695,Public Area (DW),Pelayanan,"Memastikan area umum tetap rapi dan terorganisir, dengan fokus pada kebersihan dan presentasi yang baik bagi para pengguna fasilitas."
696,Public Area (DW),Pelayanan,"Melakukan tugas-tugas kebersihan yang diperlukan secara rutin, memastikan lingkungan publik terjaga dengan baik agar pengalaman penggunaan fasilitas tetap nyaman bagi pengunjung."
697,Pembantu Rumah Tangga,Pelayanan,"Menjaga kebersihan rumah, melakukan tugas-tugas seperti membersihkan lantai, membersihkan perabotan, dan merapikan area rumah."
698,Pembantu Rumah Tangga,Pelayanan,"Melakukan pekerjaan rutin seperti mencuci pakaian, menyetrika, dan merapikan kamar tidur atau area lainnya."
699,Pembantu Rumah Tangga,Pelayanan,"Mungkin juga membantu dalam memasak atau tugas-tugas lain sesuai kebutuhan keluarga, serta mendukung kelancaran rumah tangga secara umum."
700,Satpam (Security),Pelayanan,"Melakukan patroli rutin untuk mengawasi keamanan area, memastikan tidak adanya kegiatan mencurigakan atau gangguan keamanan."
701,Satpam (Security),Pelayanan,"Memonitor sistem keamanan seperti kamera CCTV atau sistem alarm, dan merespons kejadian darurat atau situasi yang memerlukan perhatian."
702,Satpam (Security),Pelayanan,"Memberikan pelayanan keamanan kepada penghuni atau pengunjung, serta memastikan aturan keamanan dan protokol keselamatan dipatuhi."
703,Guru Private Calistung,Pendidikan,"Memberikan pengajaran yang personal dan terfokus kepada anak-anak dalam belajar membaca, menulis, dan berhitung sesuai dengan tingkat perkembangan mereka."
704,Guru Private Calistung,Pendidikan,"Menciptakan metode pembelajaran yang menarik dan sesuai untuk setiap siswa, membantu mereka memahami dan menguasai dasar-dasar pengetahuan."
705,Guru Private Calistung,Pendidikan,"Melakukan evaluasi kemajuan siswa secara berkala, serta memberikan bimbingan tambahan atau latihan untuk memastikan pemahaman yang baik dalam calistung."
